Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testCreateOrder_SuccessfullyCreated,Magic Number,The method contains a magic number: 10.0,72
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testGetOrdersForStore_Success,Long Statement,The length of the statement "when(orderRepository.findByStoreStoreIdAndStatusOrderByCreatedAtDesc(storeId`status`pageRequest)).thenReturn(ordersPage);" is 121.,265
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testGetOrdersForStore_Success,Magic Number,The method contains a magic number: 10,265
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testGetOrdersForUser_Success,Magic Number,The method contains a magic number: 10,293
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testGetOrdersForUser_OrdersFound_Success,Magic Number,The method contains a magic number: 10,321
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testGetOrdersForUser_OrdersFound_Success,Magic Number,The method contains a magic number: 2L,321
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testGetOrdersForUser_OrdersFound_Success,Magic Number,The method contains a magic number: 2,321
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testGetOrdersForStore_OrdersFound_Success,Long Statement,The length of the statement "when(orderRepository.findByStoreStoreIdAndStatusOrderByCreatedAtDesc(storeId`status`pageRequest)).thenReturn(ordersPage);" is 121.,354
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testGetOrdersForStore_OrdersFound_Success,Magic Number,The method contains a magic number: 10,354
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testGetOrdersForStore_OrdersFound_Success,Magic Number,The method contains a magic number: 2L,354
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testGetOrdersForStore_OrdersFound_Success,Magic Number,The method contains a magic number: 2,354
.,com.Group11.soulfulplates.services.impl,OrderServiceImplTest,testCreateOrder_MissingUser_ReturnsNull,Magic Number,The method contains a magic number: 2L,387
