Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,Law of Demeter violation,The tool detected the smell in this method (filterSellerPayments_Success) because the method voilates the law of Demeter. The long chain of method invocations is : com.Group11.soulfulplates.models.Transaction.setUser; com.Group11.soulfulplates.models.Payment.getTransaction
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,Law of Demeter violation,The tool detected the smell in this method (filterSellerPayments_Success) because the method voilates the law of Demeter. The long chain of method invocations is : com.Group11.soulfulplates.models.Transaction.getUser; com.Group11.soulfulplates.models.Payment.getTransaction
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,Law of Demeter violation,The tool detected the smell in this method (filterSellerPayments_Success) because the method voilates the law of Demeter. The long chain of method invocations is : com.Group11.soulfulplates.models.Payment.getOrder; com.Group11.soulfulplates.models.Order.setOrderId
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,Law of Demeter violation,The tool detected the smell in this method (filterSellerPayments_Success) because the method voilates the law of Demeter. The long chain of method invocations is : com.Group11.soulfulplates.models.Store.setStoreId; com.Group11.soulfulplates.models.Payment.getStore
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,Law of Demeter violation,The tool detected the smell in this method (updatePaymentStatus_Success) because the method voilates the law of Demeter. The long chain of method invocations is : com.Group11.soulfulplates.models.Transaction.setTransactionId; com.Group11.soulfulplates.models.Payment.getTransaction
.,com.Group11.soulfulplates.services.impl,PaymentServiceImplTest,Law of Demeter violation,The tool detected the smell in this method (updatePaymentStatus_TransactionIdMismatch) because the method voilates the law of Demeter. The long chain of method invocations is : com.Group11.soulfulplates.models.Transaction.setTransactionId; com.Group11.soulfulplates.models.Payment.getTransaction
.,com.Group11.soulfulplates.services.impl,RatingServiceImplTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.Group11.soulfulplates.models.Rating; com.Group11.soulfulplates.payload.request.CreateRatingRequest; com.Group11.soulfulplates.models.Order
.,com.Group11.soulfulplates.services.impl,StoreServiceImplTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.Group11.soulfulplates.models.Store
.,com.Group11.soulfulplates.services.impl,TransactionServiceImplTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.Group11.soulfulplates.models.Transaction
.,com.Group11.soulfulplates.utils,CartItemUtilsTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.Group11.soulfulplates.models.CartItem
